	H01	H02	H03	H04	H05	H06	H07	H08	date	rands	notes
2368	P0141	Consumer Price Index	1121005	Beef mince	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	108.04	
2447	P0141	Consumer Price Index	1121006	Beef fillet	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	301.83	
2526	P0141	Consumer Price Index	1121008	Beef Sirloin	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	199.06	
2605	P0141	Consumer Price Index	1121009	Stewing beef	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	106.24	
2684	P0141	Consumer Price Index	1121010	Beef offal	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	49.31	
2763	P0141	Consumer Price Index	1122001	Pork chops	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	105.02	
2842	P0141	Consumer Price Index	1122002	Pork ribs	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	110.93	
2921	P0141	Consumer Price Index	1122003	Pork fillet	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	106.46	
3000	P0141	Consumer Price Index	1123002	Mutton/Lamb rib chop	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	197.83	
3079	P0141	Consumer Price Index	1123003	Mutton/Lamb loin chop	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	185.39	
3158	P0141	Consumer Price Index	1123005	Mutton/Lamb leg	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	171.2	
3237	P0141	Consumer Price Index	1123006	Mutton/Lamb neck	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	145.29	
3316	P0141	Consumer Price Index	1123007	Mutton/Lamb ofal	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	63.4	
3395	P0141	Consumer Price Index	1123008	Stewing mutton/lamb	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	140.27	
3474	P0141	Consumer Price Index	1124001	Whole chicken - fresh	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	57.59	
3553	P0141	Consumer Price Index	1124002	Chicken portions - fresh	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	79.05	
3632	P0141	Consumer Price Index	1124005	IQF chicken portions	Price (Rand)	monthly	10924	2 Kilogram	2023-04-01 	92.5	
3711	P0141	Consumer Price Index	1124006	Chicken portions frozen - non IQF	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	63.09	
3790	P0141	Consumer Price Index	1124007	Chicken giblets (neck, gizzards, hearts, etc)	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	45.73	
3869	P0141	Consumer Price Index	1125004	Polony	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	51.15	
3948	P0141	Consumer Price Index	1125005	Ham	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	55.28	
4027	P0141	Consumer Price Index	1125006	Biltong	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	337.49	
4106	P0141	Consumer Price Index	1125007	Bacon	Price (Rand)	monthly	10855	200 Gram	2023-04-01 	43.33	
4185	P0141	Consumer Price Index	1125009	Sausage	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	101.28	
4264	P0141	Consumer Price Index	1126002	Beef extract	Price (Rand)	monthly	10839	120 Gram	2023-04-01 	16.02	
4343	P0141	Consumer Price Index	1126005	Corned beef	Price (Rand)	monthly	10869	300 Gram	2023-04-01 	34.11	
4422	P0141	Consumer Price Index	1131001	Hake - frozen	Price (Rand)	monthly	10884	400 Gram	2023-04-01 	81.11	
4501	P0141	Consumer Price Index	1134001	Fish fingers - frozen	Price (Rand)	monthly	10884	400 Gram	2023-04-01 	59.12	
4580	P0141	Consumer Price Index	1134002	Tuna - tinned	Price (Rand)	monthly	10850	170 Gram	2023-04-01 	23.84	
4659	P0141	Consumer Price Index	1134003	Fish (excl tuna) - tinned	Price (Rand)	monthly	10884	400 Gram	2023-04-01 	26.34	
4738	P0141	Consumer Price Index	1141001	Full cream milk - fresh	Price (Rand)	monthly	10963	2 Litre	2023-04-01 	35.88	
4817	P0141	Consumer Price Index	1141002	Full cream milk - long life	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	18.71	
4896	P0141	Consumer Price Index	1142001	Low fat milk - fresh	Price (Rand)	monthly	10963	2 Litre	2023-04-01 	35.44	
4975	P0141	Consumer Price Index	1142002	Low fat milk - long life	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	18.55	
5054	P0141	Consumer Price Index	1143001	Powdered milk	Price (Rand)	monthly	10916	900 Gram	2023-04-01 	171.38	
5133	P0141	Consumer Price Index	1143002	Whiteners	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	37.55	
5212	P0141	Consumer Price Index	1143003	Condensed milk	Price (Rand)	monthly	10881	385 Gram	2023-04-01 	30.82	
5291	P0141	Consumer Price Index	1144001	Plain yogurt	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	38.92	
5370	P0141	Consumer Price Index	1144002	Flavoured yogurt	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	39.85	
5449	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	135.11	
5528	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10916	900 Gram	2023-04-01 	151.99	
5607	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10855	200 Gram	2023-04-01 	36.95	
5686	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10916	900 Gram	2023-04-01 	148.87	
5765	P0141	Consumer Price Index	1145003	Cheese spread	Price (Rand)	monthly	10863	250 Gram	2023-04-01 	45.76	
5844	P0141	Consumer Price Index	1145004	Feta cheese	Price (Rand)	monthly	10884	400 Gram	2023-04-01 	61.79	
5923	P0141	Consumer Price Index	1146001	Cream - fresh	Price (Rand)	monthly	11019	250 Millilitre	2023-04-01 	32.52	
6002	P0141	Consumer Price Index	1146002	Sour milk	Price (Rand)	monthly	10924	2 Kilogram	2023-04-01 	35.38	
6081	P0141	Consumer Price Index	1146003	Custard - prepared	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	33.22	
6160	P0141	Consumer Price Index	1146004	Maize based food drink (e.g. mageu )	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	17.81	
6239	P0141	Consumer Price Index	1146005	Flavoured milk	Price (Rand)	monthly	11022	300 Millilitre	2023-04-01 	16.62	
6318	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10558	For 6	2023-04-01 	21.59	
6397	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10563	For 18	2023-04-01 	56.41	
6476	P0141	Consumer Price Index	1152001	Margarine spread (in a tub)	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	37.01	
6555	P0141	Consumer Price Index	1152002	Brick margarine	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	29.63	
6634	P0141	Consumer Price Index	1152003	Peanut butter	Price (Rand)	monthly	10884	400 Gram	2023-04-01 	39.16	
6713	P0141	Consumer Price Index	1154001	Sunflower oil (incl canola oil)	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	36.34	
6792	P0141	Consumer Price Index	1161001	Oranges	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	23.51	
6871	P0141	Consumer Price Index	1162001	Bananas	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	19.12	
6950	P0141	Consumer Price Index	1163001	Apples	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	19.98	
7029	P0141	Consumer Price Index	1164001	Pears	Price (Rand)	Monthly	10734	Per Kilogram	2023-04-01 	19.86	
7108	P0141	Consumer Price Index	1165004	Avocados	Price (Rand)	Monthly	11015	Each	2023-04-01 	10.14	
7187	P0141	Consumer Price Index	1167001	Paw paw	Price (Rand)	Monthly	11015	Each	2023-04-01 	18.15	
7266	P0141	Consumer Price Index	1167002	Pineapple	Price (Rand)	Monthly	11015	Each	2023-04-01 	19.42	
7345	P0141	Consumer Price Index	1168004	Peanuts	Price (Rand)	monthly	10845	150 Gram	2023-04-01 	23.95	
7424	P0141	Consumer Price Index	1171001	Lettuce	Price (Rand)	monthly	11015	Each	2023-04-01 	20.41	
7503	P0141	Consumer Price Index	1171002	Spinach/morogo	Price (Rand)	monthly	10735	Per Bunch	2023-04-01 	15.14	
7582	P0141	Consumer Price Index	1172001	Cabbage	Price (Rand)	monthly	11015	Each	2023-04-01 	21.69	
7661	P0141	Consumer Price Index	1172002	Cauliflower	Price (Rand)	monthly	11015	Each	2023-04-01 	33.22	
7740	P0141	Consumer Price Index	1172003	Broccoli	Price (Rand)	monthly	11015	Each	2023-04-01 	29.99	
7819	P0141	Consumer Price Index	1173001	Tomatoes	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	30.89	
7898	P0141	Consumer Price Index	1173002	Pumpkin	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	18.23	
7977	P0141	Consumer Price Index	1173003	Green/red/yellow pepper	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	59.25	
8056	P0141	Consumer Price Index	1173004	Vegetables  - frozen	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	47.32	
8135	P0141	Consumer Price Index	1173006	Cucumber	Price (Rand)	monthly	11015	Each	2023-04-01 	15.3	
8214	P0141	Consumer Price Index	1174001	Onions	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	23.2	
8293	P0141	Consumer Price Index	1174002	Carrots	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	17.5	
8372	P0141	Consumer Price Index	1174003	Beetroot	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	18.27	
8451	P0141	Consumer Price Index	1174005	Mushrooms	Price (Rand)	monthly	10863	250 Gram	2023-04-01 	30.76	
8530	P0141	Consumer Price Index	1175002	Beans - dried	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	28.18	
8609	P0141	Consumer Price Index	1176002	Baked beans - tinned	Price (Rand)	monthly	10886	410 Gram	2023-04-01 	15.06	
8688	P0141	Consumer Price Index	1176005	Prepared salads	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	67.02	
8767	P0141	Consumer Price Index	1176006	Atchar	Price (Rand)	monthly	10884	400 Gram	2023-04-01 	39.99	
8846	P0141	Consumer Price Index	1176007	Mixed vegetables - tinned	Price (Rand)	monthly	10886	410 Gram	2023-04-01 	23.1	
8925	P0141	Consumer Price Index	1177001	Potatoes	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	17.76	
9004	P0141	Consumer Price Index	1178001	Sweet potatoes	Price (Rand)	monthly	10734	Per Kilogram	2023-04-01 	21.91	
9083	P0141	Consumer Price Index	1178002	Potato chips - frozen	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	45.02	
9162	P0141	Consumer Price Index	1178003	Potato crisps	Price (Rand)	monthly	10840	125 Gram	2023-04-01 	18.67	
9241	P0141	Consumer Price Index	1178004	Corn chips	Price (Rand)	monthly	10845	150 Gram	2023-04-01 	18.35	
9320	P0141	Consumer Price Index	1181001	White sugar	Price (Rand)	monthly	10926	2.5 Kilogram	2023-04-01 	50.9	
9399	P0141	Consumer Price Index	1181002	Brown sugar	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	23.91	
9478	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10892	450 Gram	2023-04-01 	31.54	
9557	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10916	900 Gram	2023-04-01 	40.64	
9636	P0141	Consumer Price Index	1183001	Chocolate slab	Price (Rand)	monthly	10824	80 Gram	2023-04-01 	19.32	
9715	P0141	Consumer Price Index	1183002	Chocolate bar	Price (Rand)	monthly	11015	Each	2023-04-01 	13.47	
9794	P0141	Consumer Price Index	1184001	Sweets	Price (Rand)	monthly	10840	125 Gram	2023-04-01 	27.75	
9873	P0141	Consumer Price Index	1184002	Chewing gum	Price (Rand)	monthly	10746	For 10	2023-04-01 	13.14	
9952	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10699	1.8 Litre	2023-04-01 	69.52	
10031	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10963	2 Litre	2023-04-01 	77.04	
10110	P0141	Consumer Price Index	1191001	Vinegar	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	19.18	
10189	P0141	Consumer Price Index	1191002	Chutney	Price (Rand)	monthly	10894	470 Gram	2023-04-01 	38.29	
10268	P0141	Consumer Price Index	1191004	Tomato sauce	Price (Rand)	monthly	10581	700 Millilitre	2023-04-01 	36.39	
10347	P0141	Consumer Price Index	1191005	Mayonnaise	Price (Rand)	monthly	10906	750 Gram	2023-04-01 	41.09	
10426	P0141	Consumer Price Index	1191006	Salad dressing	Price (Rand)	monthly	11026	340 Millilitre	2023-04-01 	34.41	
10505	P0141	Consumer Price Index	1192001	Salt	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	16.98	
10584	P0141	Consumer Price Index	1192002	Spices (excl salt and curry powder)	Price (Rand)	monthly	11008	100 Millilitre	2023-04-01 	24.22	
10663	P0141	Consumer Price Index	1192003	Curry powder	Price (Rand)	monthly	10833	100 Gram	2023-04-01 	26.4	
10742	P0141	Consumer Price Index	1193001	Baby food - cereal	Price (Rand)	monthly	10863	250 Gram	2023-04-01 	36.28	
10821	P0141	Consumer Price Index	1193003	Baby food - milk formula	Price (Rand)	monthly	10916	900 Gram	2023-04-01 	202.65	
10900	P0141	Consumer Price Index	1193004	Instant yeast	Price (Rand)	monthly	10786	10 Gram	2023-04-01 	5.43	
10979	P0141	Consumer Price Index	1193005	Baking powder	Price (Rand)	monthly	10855	200 Gram	2023-04-01 	30.16	
11058	P0141	Consumer Price Index	1193006	Soup powder	Price (Rand)	monthly	10807	50 Gram	2023-04-01 	6.38	
11137	P0141	Consumer Price Index	1211001	Instant coffee	Price (Rand)	monthly	10863	250 Gram	2023-04-01 	48.95	
11216	P0141	Consumer Price Index	1211002	Ground coffee or coffee beans	Price (Rand)	monthly	10863	250 Gram	2023-04-01 	93.93	
11295	P0142	Consumer Price Index	1211003	Capuccino	Price (Rand)	monthly	11154	10 X 18 Gram	2023-04-01 	71.12	
11374	P0141	Consumer Price Index	1212001	Ceylon/black tea	Price (Rand)	monthly	10863	250 Gram	2023-04-01 	41.8	
11453	P0141	Consumer Price Index	1212002	Rooibos tea	Price (Rand)	monthly	10855	200 Gram	2023-04-01 	44.86	
11532	P0141	Consumer Price Index	1213001	Drinking chocolate (e.g.  milo, cocoa )	Price (Rand)	monthly	10895	500 Gram	2023-04-01 	65.55	
11611	P0141	Consumer Price Index	1221001	Mineral water - sparkling or still	Price (Rand)	monthly	11039	500 Millilitre	2023-04-01 	9.43	
11690	P0141	Consumer Price Index	1222001	Fizzy drinks - can	Price (Rand)	monthly	11022	300 Millilitre	2023-04-01 	11.83	
11769	P0141	Consumer Price Index	1222002	Fizzy drinks - bottle	Price (Rand)	monthly	10963	2 Litre	2023-04-01 	23.21	
11848	P0141	Consumer Price Index	1223001	Fruit juice	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	31.93	
11927	P0141	Consumer Price Index	1223002	Fruit juice concentrates	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	32.75	
12006	P0141	Consumer Price Index	1223003	Dairy mixture	Price (Rand)	monthly	10960	1 Litre	2023-04-01 	19.84	
12085	P0141	Consumer Price Index	2111001	Brandy	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	252.78	
12164	P0141	Consumer Price Index	2111002	Whiskey	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	279.93	
12243	P0141	Consumer Price Index	2111003	Liqueur	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	180.18	
12322	P0141	Consumer Price Index	2111004	Vodka	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	268.13	
12401	P0141	Consumer Price Index	2121001	Red wine	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	89.05	
12480	P0141	Consumer Price Index	2121002	White wine	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	76.76	
12559	P0141	Consumer Price Index	2122001	Spirit coolers or cider	Price (Rand)	monthly	11025	330 Millilitre	2023-04-01 	23.58	
12638	P0141	Consumer Price Index	2122002	Gin	Price (Rand)	monthly	11044	750 Millilitre	2023-04-01 	212.32	
12717	P0141	Consumer Price Index	2131004	Beer	Price (Rand)	monthly	11025	330 Millilitre	2023-04-01 	17.01	
12796	P0141	Consumer Price Index	2211001	Cigarettes	Price (Rand)	monthly	10527	For 20	2023-04-01 	47.13	
12875	P0141	Consumer Price Index	4531001	Paraffin	Price (Rand)	Monthly	11044	750 Millilitre	2023-04-01 	37.85	
12954	P0141	Consumer Price Index	5521003	Light bulb - non-energy savers	Price (Rand)	Monthly	11015	Each	2023-04-01 	..	
13033	P0141	Consumer Price Index	5521007	Light bulb - energy savers	Price (Rand)	Monthly	11015	Each	2023-04-01 	..	
13112	P0141	Consumer Price Index	5521008	Light bulb	Price (Rand)	Monthly	11015	Each	2023-04-01 	55.96	
13191	P0141	Consumer Price Index	5611002	Laundry soap	Price (Rand)	Monthly	10895	500 Gram	2023-04-01 	23.12	
13270	P0141	Consumer Price Index	5611003	Washing powder	Price (Rand)	Monthly	10924	2 Kilogram	2023-04-01 	76.66	
13349	P0141	Consumer Price Index	5611004	Dish-washing liquid	Price (Rand)	Monthly	11044	750 Millilitre	2023-04-01 	32.89	
13428	P0141	Consumer Price Index	5611005	Wax shoe polish	Price (Rand)	Monthly	11000	50 Millilitre	2023-04-01 	21.47	
13507	P0141	Consumer Price Index	5611007	Indoor Insecticide	Price (Rand)	Monthly	11022	300 Millilitre	2023-04-01 	40.63	
13586	P0141	Consumer Price Index	5611008	Toiletcare - Disinfectant bleaches	Price (Rand)	Monthly	11044	750 Millilitre	2023-04-01 	34.44	
13665	P0141	Consumer Price Index	5611009	Fabrick softner	Price (Rand)	Monthly	10963	2 Litre	2023-04-01 	62.43	
13744	P0141	Consumer Price Index	6111001	Pain Killers	Price (Rand)	Monthly	10564	For 24	2023-04-01 	36.4	
13823	P0141	Consumer Price Index	6111002	Cough syrup	Price (Rand)	Monthly	11008	100 Millilitre	2023-04-01 	64.66	
13902	P0141	Consumer Price Index	6111003	Vitamin and mineral supplement	Price (Rand)	Monthly	10567	For 30	2023-04-01 	129.06	
13981	P0141	Consumer Price Index	6111006	Cold and flu medication	Price (Rand)	Monthly	10530	48.8 Gram	2023-04-01 	69.72	
14060	P0141	Consumer Price Index	6111007	Heartburn medication	Price (Rand)	Monthly	11011	150 Millilitre	2023-04-01 	112.51	
14139	P0141	Consumer Price Index	6111009	Sore throat lozenges	Price (Rand)	Monthly	10564	For 24	2023-04-01 	85.7	
14218	P0141	Consumer Price Index	6111010	Laxatives	Price (Rand)	Monthly	10553	For 12	2023-04-01 	15.43	
14297	P0141	Consumer Price Index	6111013	Eyedrops	Price (Rand)	Monthly	10993	10 Millilitre	2023-04-01 	68.83	
14376	P0141	Consumer Price Index	7221002	Diesel	Price (Rand)	Monthly	10737	Per Litre	2023-04-01 	23.14	
14455	P0141	Consumer Price Index	9131005	Printer cartriges	Price (Rand)	Monthly	11015	Each	2023-04-01 	585.96	
14534	P0141	Consumer Price Index	9341001	Dog food - Pellets	Price (Rand)	Monthly	10937	8 Kilogram	2023-04-01 	183.81	
14613	P0141	Consumer Price Index	9341002	Dog food - tinned	Price (Rand)	Monthly	10908	775 Gram	2023-04-01 	33.88	
14692	P0141	Consumer Price Index	9341003	Cat food - tinned	Price (Rand)	Monthly	10881	385 Gram	2023-04-01 	21.96	
14771	P0141	Consumer Price Index	9341004	Cat food - pellets	Price (Rand)	Monthly	10922	1.75 Kilogram	2023-04-01 	82.13	
14850	P0141	Consumer Price Index	9541007	Printer paper	Price (Rand)	Monthly	11075	For 2500	2023-04-01 	413.48	
14929	P0141	Consumer Price Index	12131001	Shampoo	Price (Rand)	Monthly	11034	400 Millilitre	2023-04-01 	73.01	
15008	P0141	Consumer Price Index	12131002	Conditioner	Price (Rand)	Monthly	11034	400 Millilitre	2023-04-01 	86.16	
15087	P0141	Consumer Price Index	12131003	Tissues	Price (Rand)	Monthly	10637	Pack Of 2 Ply 180 Tissues	2023-04-01 	32.17	
15166	P0141	Consumer Price Index	12131004	Sanitory Pads	Price (Rand)	Monthly	10740	Per Pack	2023-04-01 	24.54	
15245	P0141	Consumer Price Index	12131005	Tampons	Price (Rand)	Monthly	10529	For 16	2023-04-01 	29.04	
15324	P0141	Consumer Price Index	12131006	Bar Of Bath Soap	Price (Rand)	Monthly	10851	175 Gram	2023-04-01 	16.08	
15403	P0141	Consumer Price Index	12131007	Tooth Brush	Price (Rand)	Monthly	11015	Each	2023-04-01 	34.82	
15482	P0141	Consumer Price Index	12131008	Skin Lotion	Price (Rand)	Monthly	11034	400 Millilitre	2023-04-01 	45.15	
15561	P0141	Consumer Price Index	12131010	Toilet Paper	Price (Rand)	Monthly	10520	Pack Of 2 Ply 9 Rolls	2023-04-01 	77.18	
15640	P0141	Consumer Price Index	12131012	Tooth Paste	Price (Rand)	Monthly	11008	100 Millilitre	2023-04-01 	22.49	
15719	P0141	Consumer Price Index	12131013	Aerosol Deodorant	Price (Rand)	Monthly	11011	150 Millilitre	2023-04-01 	41.92	
15798	P0141	Consumer Price Index	12131014	Hair Relaxers	Price (Rand)	Monthly	11019	250 Millilitre	2023-04-01 	44.03	
15877	P0141	Consumer Price Index	12131015	Hair Colour	Price (Rand)	Monthly	10740	Per	2023-04-01 	92.4	
15956	P0141	Consumer Price Index	12131017	Bubble Bath	Price (Rand)	Monthly	10963	2 Litre	2023-04-01 	82.39	
16035	P0141	Consumer Price Index	12131018	Powder (Including Baby Powder)	Price (Rand)	Monthly	10855	200 Gram	2023-04-01 	36.09	
16114	P0141	Consumer Price Index	12131019	Wipes	Price (Rand)	Monthly	10722	For 40	2023-04-01 	52.49	
16193	P0141	Consumer Price Index	12131020	Make-up foundation	Price (Rand)	Monthly	10998	30 Millilitre	2023-04-01 	292.75	
16272	P0141	Consumer Price Index	12131021	Non-electrical shavers	Price (Rand)	Monthly	10531	For 5	2023-04-01 	29.45	
77	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10917	1 Kilogram	2023-04-01 	24.13	
157	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10924	2 Kilogram	2023-05-01 	37.72	
236	P0141	Consumer Price Index	1112001	Loaf of white bread	Price (Rand)	monthly	10902	700 Gram	2023-05-01 	18.99	
315	P0141	Consumer Price Index	1112002	Loaf of brown bread	Price (Rand)	monthly	10902	700 Gram	2023-05-01 	17.19	
394	P0141	Consumer Price Index	1112003	Sweet biscuits	Price (Rand)	monthly	10855	200 Gram	2023-05-01 	23.43	
473	P0141	Consumer Price Index	1112004	Savoury biscuits	Price (Rand)	monthly	10855	200 Gram	2023-05-01 	34.91	
552	P0141	Consumer Price Index	1112005	Bread rolls	Price (Rand)	monthly	10558	For 6	2023-05-01 	18.43	
631	P0141	Consumer Price Index	1112301	Rusks	Price (Rand)	monthly	10895	500 Gram	2023-05-01 	55.65	
710	P0141	Consumer Price Index	1113001	Spaghetti	Price (Rand)	monthly	10895	500 Gram	2023-05-01 	20.55	
789	P0141	Consumer Price Index	1113002	Macaroni	Price (Rand)	monthly	10895	500 Gram	2023-05-01 	18.66	
868	P0141	Consumer Price Index	1113003	Pasta (excl spaghetti, macaroni)	Price (Rand)	monthly	10895	500 Gram	2023-05-01 	25.52	
947	P0141	Consumer Price Index	1113004	Instant noodles (e.g. 2 minute noodles)	Price (Rand)	monthly	10547	73 Gram	2023-05-01 	8.15	
1026	P0141	Consumer Price Index	1116001	Cake flour	Price (Rand)	monthly	10926	2.5 Kilogram	2023-05-01 	42.2	
1105	P0141	Consumer Price Index	1116002	Bread flour	Price (Rand)	monthly	10926	2.5 Kilogram	2023-05-01 	45.15	
1184	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10926	2,5 Kilogram	2023-05-01 	38.36	
1263	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10931	5 Kilogram	2023-05-01 	67.82	
1342	P0141	Consumer Price Index	1116005	Cereals	Price (Rand)	monthly	10895	500 Gram	2023-05-01 	51.23	
1421	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10917	1 Kilogram	2023-05-01 	..	
1500	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10926	2.5 Kilogram	2023-05-01 	..	
1579	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10931	5 Kilogram	2023-05-01 	..	
1658	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10917	1 Kilogram	2023-05-01 	..	
1737	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10926	2.5 Kilogram	2023-05-01 	..	
1816	P0141	Consumer Price Index	1116010	Hot cereals (porridge) incl instant porridge	Price (Rand)	monthly	10917	1 Kilogram	2023-05-01 	34.8	
1895	P0141	Consumer Price Index	1116011	Ready-mix flour	Price (Rand)	monthly	10917	1 Kilogram	2023-05-01 	39.57	
1974	P0141	Consumer Price Index	1116012	Samp	Price (Rand)	monthly	10917	1 Kilogram	2023-05-01 	18.54	
2053	P0141	Consumer Price Index	1121001	Beef rump steak	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	178.14	
2132	P0141	Consumer Price Index	1121002	Beef brisket	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	107.16	
2211	P0141	Consumer Price Index	1121003	Beef chuck	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	109.02	
2290	P0141	Consumer Price Index	1121004	Beef T-bone	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	134.32	
2369	P0141	Consumer Price Index	1121005	Beef mince	Price (Rand)	monthly	10734	Per Kilogram	2023-05-01 	109.35	
2448	P0141	Consumer Price Index	1121006	Beef fillet	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	285.79	
2527	P0141	Consumer Price Index	1121008	Beef Sirloin	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	183.99	
2606	P0141	Consumer Price Index	1121009	Stewing beef	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	98.05	
2685	P0141	Consumer Price Index	1121010	Beef offal	Price (Rand)	monthly	10734	Per Kilogram	2023-05-01 	48.45	
2764	P0141	Consumer Price Index	1122001	Pork chops	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	103.53	
2843	P0141	Consumer Price Index	1122002	Pork ribs	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	97.93	
2922	P0141	Consumer Price Index	1122003	Pork fillet	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	104.48	
3001	P0141	Consumer Price Index	1123002	Mutton/Lamb rib chop	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	196.89	
3080	P0141	Consumer Price Index	1123003	Mutton/Lamb loin chop	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	185.27	
3159	P0141	Consumer Price Index	1123005	Mutton/Lamb leg	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	167.29	
3238	P0141	Consumer Price Index	1123006	Mutton/Lamb neck	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	143.42	
3317	P0141	Consumer Price Index	1123007	Mutton/Lamb ofal	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	63.8	
3396	P0141	Consumer Price Index	1123008	Stewing mutton/lamb	Price (Rand)	Monthly	10734	Per Kilogram	2023-05-01 	144.62	
